STATES,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,YEAR,TOTAL_CONSUMPTION,AVERAGE_CONSUMPTION
21,-0.8277552699581303,-0.8380710854755359,-0.8570289866432697,-0.8528415675380822,-0.8631428104341138,-0.8768412212102571,-0.9506822461628427,-0.9696797590323132,-0.9585938090308799,-0.953304928648203,-0.950872051110353,-0.955620644357114,2004,-10.854434379601095,-0.9045361983000912
0,-0.9697650454065043,-0.9766532133924752,-0.9855386102448461,-0.9870820933780132,-1.0183001956885394,-1.0224968408919013,-1.1116653578617908,-1.1192686564342664,-1.12026117992119,-1.1222992733700212,-1.114112661339412,-1.1112018806535628,2004,-12.658645008582525,-1.0548870840485438
3,-0.62738665168361,-0.6433783949374379,-0.6809458877602099,-0.6758796764010042,-0.6624931643749602,-0.6706953797776868,-0.7107585223745837,-0.7254518211116181,-0.6959980270014948,-0.7316075184365801,-0.7083825146985301,-0.7202823397878246,2004,-8.25325989834554,-0.6877716581954617
22,-0.9706197096187753,-0.9767280564077458,-0.988123688050419,-0.9877438618807399,-1.0270508901674649,-1.0231113375371295,-1.121518463815141,-1.1335021825474676,-1.1297577149187104,-1.1310823353490456,-1.120906863896226,-1.1154882449757375,2004,-12.725633349164603,-1.060469445763717
15,-0.34480275524420184,-0.36665119358615295,-0.4071183856486988,-0.3190650648564775,-0.34141387148447705,-0.3069476977312756,-0.35599313886155837,-0.312951408812659,-0.3594965943915982,-0.37720026435685644,-0.338805317705865,-0.3404325820922986,2004,-4.170878274772119,-0.34757318956434324
2,-0.9398514490938011,-0.9782619534897322,-0.9512960035198915,-0.9697926126173931,-0.9993751378356008,-0.9896737780278366,-1.082861259351664,-1.090126960034202,-1.0886436854801749,-1.087340332756132,-1.082172476891289,-1.073407005561656,2004,-12.332802654659373,-1.0277335545549477
26,-0.9212843325984961,-0.9295696212484884,-0.9360509368582492,-0.9282181068071188,-0.9512640395337317,-0.9408138337084749,-1.044255498815102,-1.0481572104362276,-1.0347753023032467,-1.04667199487781,-1.0511085461991254,-1.046320925331803,2004,-11.878490348717875,-0.9898741957264896
9,-0.6067527011424301,-0.6363642860614991,-0.6327194357518279,-0.6175598277588397,-0.6185907444590458,-0.6139803799305329,-0.6791085058225227,-0.6737968579206303,-0.6643327209925504,-0.6884321956683036,-0.6871135208010519,-0.6912107363719937,2004,-7.809961912681227,-0.6508301593901022
17,-0.7703390597565862,-0.8133149242901098,-0.8172569983532568,-0.8049399267922863,-0.8187279624631272,-0.8215146449498659,-0.8948115162051995,-0.899657594412587,-0.8863338290009863,-0.8884914435678221,-0.8710949479092588,-0.8886257872314643,2004,-10.17510863493255,-0.8479257195777126
5,-0.2251990577414575,-0.2906208469712862,-0.2306597300539741,-0.15482946335981776,-0.2376614888527439,-0.19045789294135645,-0.2791170972000418,-0.2041361921491104,-0.16240097224943523,-0.19155843726312272,-0.18956620113670666,-0.17113163197185696,2004,-2.52733901189091,-0.2106115843242425
18,-0.6483951532835265,-0.6948535125744276,-0.6769142699775805,-0.6588503728486907,-0.684275386800427,-0.6853980843374697,-0.76330221168341,-0.7840258893130545,-0.7856387479601306,-0.7851005372654892,-0.7575975666563484,-0.7298312942059089,2004,-8.654183026906463,-0.7211819189088718
14,-0.6561684708250836,-0.6995453334830531,-0.6825736382883507,-0.6777421519093785,-0.7043937914362184,-0.7096038891980515,-0.7791098115345974,-0.8088920995666421,-0.7848397581767712,-0.7815435489638325,-0.786036250232454,-0.7745563398962695,2004,-8.845005083510703,-0.7370837569592252
16,0.09028218400364493,0.06446463168437175,0.07999682593731687,0.12809142338105844,0.06182002700464444,0.011836152922959418,0.00014691638987988684,-0.04571497025631384,0.13657549399344834,0.04166096760898547,0.11469017612928357,0.1993200643017402,2004,0.8831698931010196,0.07359749109175164
1,-0.7529846114994876,-0.7729592011144472,-0.7823081624304721,-0.778402263380725,-0.795276180757172,-0.7912105471086864,-0.8863992152523236,-0.9193221932012031,-0.9058744710766548,-0.9136409056949879,-0.9059084785918301,-0.8779927013408098,2004,-10.0822789314488,-0.8401899109540666
24,-0.8111693615980003,-0.8317547761449874,-0.8302893487727352,-0.8211578110416067,-0.8548060553601584,-0.8587967072974626,-0.9403152010028162,-0.9649472519077515,-0.9676638986059962,-0.9613357050391005,-0.9466825964506553,-0.9282891224079638,2004,-10.717207835629235,-0.8931006529691029
4,0.42088038622409435,0.33231844719708703,0.34195313507885217,0.4299930456954741,0.4589665650657828,0.39042207211039065,0.44076927605696414,0.307246238276833,0.36138247179798877,0.3942090151724196,0.4601910404750138,0.45333293740333425,2004,4.7916646305542345,0.3993053858795195
12,2.0859313433321383,1.7541277773747759,2.0319688359147716,1.9348166290519857,2.0524486631879517,2.097162999202142,2.251565499715597,2.203471297609179,2.3725470160081668,2.3029400685456674,2.126925251943636,2.112385506750101,2004,25.326290888636112,2.110524240719676
7,-0.4642244353861337,-0.4851701097707302,-0.48155849326472866,-0.5035014137311206,-0.5147204404390737,-0.5497649756228804,-0.6064145491309284,-0.6270802483717793,-0.6041115490665109,-0.5990815573591327,-0.5849919175384081,-0.5924662313676304,2004,-6.613085921049058,-0.5510904934207549
20,0.639808682030875,0.6759489227706124,0.6929171743716133,0.6922499052579446,0.7414327481934926,2.9757506009589885,0.8277509523344421,3.2464235926834757,0.8127559967697754,0.813053722491681,0.7994201771824712,0.7911714696047593,2004,13.70868394465013,1.1423903287208441
25,0.639808682030875,0.6759489227706124,0.6929171743716133,0.6922499052579446,0.7414327481934926,0.7401884448828665,0.8277509523344421,0.8262894537233738,0.8127559967697754,0.813053722491681,0.7994201771824712,0.7911714696047593,2004,9.052987649613907,0.7544156374678256
13,0.8911230851710993,0.9504871788335034,0.844040050642395,0.9333557902440623,0.9771689589033795,1.038100077634937,1.1359278100529069,1.1158349740049247,1.1598746651571556,1.0583174283176504,1.0367921337577988,1.0243344909060852,2004,12.165356643625898,1.0137797203021581
23,0.3804657538211187,0.3610236931581012,0.35223836803120895,0.3374561361601652,0.33444864553564735,0.30275790440895894,0.37702943800779504,0.37319520572951104,0.40201657679677644,0.321556835465982,0.2947533239597919,0.34181793876030186,2004,4.178759819835359,0.34822998498627994
19,1.2276613232839362,1.2860767958245798,1.2388756782835928,1.3555774796442026,1.3636977138384754,1.2906238668950414,1.5416516848351909,1.4419998851663265,1.4279281406803128,1.3107699036606872,1.3062840613282836,1.4366317838784688,2004,16.2277783173191,1.3523148597765917
11,-0.6114207586489203,-0.624509644898409,-0.6368467051155781,-0.6355539079357818,-0.6477409005903941,-0.7000687008854697,-0.7659316026745135,-0.7302408194884702,-0.7453959381389766,-0.722463761006164,-0.7249743482330908,-0.7014080582215673,2004,-8.246555145837336,-0.687212928819778
10,-0.5233791306814625,-0.5627700052123488,-0.5422375537923809,-0.5132093594701871,-0.5720198562744424,-0.6102672584271867,-0.6268946702224818,-0.6661360675435192,-0.5890217238333846,-0.5617362993666996,-0.563823135536956,-0.5631085903587782,2004,-6.894603650719828,-0.5745503042266523
8,-0.0563844348476642,-0.09171848048722715,-0.10086418607099855,-0.05382366729136411,-0.034285738790200235,0.001094073901464044,-0.04214374200277503,-0.0329492966496952,0.04831901740820124,0.023032482365097074,-0.07050673752376752,-0.06927156864138662,2004,-0.47950227863031625,-0.03995852321919302
6,-0.47781044644415355,-0.5096851728260869,-0.4646546374918885,-0.4606246834132637,-0.42347048529279474,-0.470885798713797,-0.4412998587718358,-0.4757217210894443,-0.4699209979000584,-0.4777941322041391,-0.52928511435696,-0.4945950042675725,2004,-5.695748052771995,-0.4746456710643329
21,-0.8379376759860604,-0.8368604650777405,-0.8352056168891349,-0.8468853936162244,-0.8672601218268402,-0.8569012145874373,-0.9291108012316679,-0.9547871683090567,-0.9472408225981481,-0.9498114526900708,-0.9261265653879668,-0.9336545437184933,2005,-10.721781841918842,-0.8934818201599035
0,-0.9644837508771672,-0.9711778748585987,-0.9758423496209924,-0.9894404190783954,-1.014724019804951,-1.0036173654976774,-1.1018492565314466,-1.1164201111056884,-1.106752392198555,-1.1106321331012754,-1.1000917812753124,-1.100774982138791,2005,-12.555806436088849,-1.0463172030074042
3,-0.6322344338897414,-0.6508681852942562,-0.6676918549117394,-0.6471628873013511,-0.6832528493692648,-0.6339266134227722,-0.6803282207020998,-0.6866240524024361,-0.6570753108497231,-0.7135972239638543,-0.6849783221560926,-0.7386727955314656,2005,-8.076412749794796,-0.673034395816233
22,-0.9702571202704973,-0.9755326200623974,-0.9889003626597958,-0.9893843579426919,-1.0260321619946307,-1.0244611096551535,-1.117645354945754,-1.1280333263634634,-1.1246934871151135,-1.1295867355141125,-1.109348935703364,-1.121586200162848,2005,-12.705461772389823,-1.0587884810324852
15,-0.30983394072983006,-0.35753476031348336,-0.3538264064553916,-0.3227479571515823,-0.3050602422350579,-0.2738378061884588,-0.2735360249539541,-0.258892040529613,-0.2792901267789428,-0.31054438659855566,-0.30207065879328177,-0.3240324907092321,2005,-3.6712068414373835,-0.3059339034531153
2,-0.9355203130985631,-0.9364288630489633,-0.9465945710862212,-0.9505135535531261,-0.9841952433987412,-0.9833964204779885,-1.0711973021677834,-1.0834167070476937,-1.072158461850877,-1.0854010971222299,-1.0794331955487186,-1.0741368563776175,2005,-12.202392584778522,-1.0168660487315435
26,-0.9144410878855598,-0.9155957788195626,-0.9290657341712006,-0.9199489605921837,-0.9464871743838468,-0.9387292909989592,-1.0275563500822764,-1.036046246522278,-1.018862671940819,-1.0337823756751439,-1.0338024027382444,-1.0403863452054696,2005,-11.754704419015544,-0.9795587015846287
9,-0.5762561708067084,-0.5996494524347317,-0.6149372185084512,-0.5997497351842892,-0.6014867881200769,-0.5757923922292947,-0.6495287479088868,-0.6063125674103169,-0.6379720270511821,-0.6451481473727586,-0.6183766526607484,-0.6204570279729631,2005,-7.345666927660407,-0.6121389106383672
17,-0.7606600423771246,-0.7860554463499202,-0.8061399110883106,-0.8038691539524018,-0.8116504709030908,-0.8052238081985172,-0.8679156560922298,-0.8785209108737313,-0.8643634187190563,-0.8619279554576027,-0.8577763125169022,-0.8574556221191997,2005,-9.961558708648088,-0.8301298923873407
5,-0.12384050736083933,-0.1430390388336001,-0.13163143510968292,-0.11875059619132394,-0.09271644914232603,-0.11229834018463627,-0.11432338444083774,-0.10643515401300588,-0.15977525499428138,-0.13743926634028922,-0.11466674065977879,-0.10043065154674385,2005,-1.4553468188173455,-0.12127890156811212
18,-0.6391789544178943,-0.643421125733682,-0.6539559632762971,-0.6141509606477111,-0.6412898940086985,-0.6572544296952156,-0.7143191547061238,-0.7301877017637324,-0.7403776528508431,-0.7627680763131341,-0.7175721388424681,-0.6834083377625203,2005,-8.197884390018322,-0.6831570325015268
14,-0.6541314413744349,-0.6501703344513914,-0.6719525090360134,-0.661818678711563,-0.6825975465235734,-0.6942211095214069,-0.7589176639197115,-0.7755087136324916,-0.7809284945768553,-0.7747166552827928,-0.7566892755496435,-0.7624275643649453,2005,-8.624079986944823,-0.7186733322454019
16,0.20912870523435637,0.17948885612233015,0.23696761300304714,0.2029111092938917,0.21702428269849647,0.12431764894029801,0.10866947416614628,0.09690943285539161,0.11648070800751321,0.11740421999694936,0.1471208190328838,0.20622684561087895,2005,1.9626497149621829,0.16355414291351525
1,-0.7478069851274588,-0.7474408107556803,-0.7674461585430641,-0.7572468293529507,-0.7677391075111021,-0.7828534712706744,-0.8830437960581612,-0.8486933456537845,-0.904276491509936,-0.9016751564098209,-0.8649920375843531,-0.8720549715346185,2005,-9.845269161311604,-0.820439096775967
