STATES,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,YEAR,CONSUMER_TYPE
Rondônia,44271.0,41823.0,40309.0,41622.0,42819.8,39615.5,40586.0,39354.0,42564.0,45081.0,44687.0,42843.0,2004,Residencial
Acre,15778.13,14807.61,14970.25,15545.48,14714.96,13650.97,14831.92,14965.91,15749.94,16636.93,16815.59,16169.22,2004,Residencial
Amazonas,84473.0,79776.66,75028.0,75997.24,79165.0,76363.0,78969.0,79171.48,86117.99,82395.72,86089.23,83190.81,2004,Residencial
Roraima,15606.65,14793.02,14460.54,15416.93,13129.88,13541.43,13255.62,12645.36,14174.85,15158.62,15655.56,15434.34,2004,Residencial
Pará,141170.69,133722.24,129019.65,145309.27000000002,137324.53999999998,141204.56,135724.37000000002,146423.11,141929.93,142047.33,149190.18000000002,148314.53,2004,Residencial
Amapá,21780.0,14494.0,21722.0,18904.0,18143.0,19502.0,19440.0,19717.0,20994.0,22521.0,22269.0,22649.0,2004,Residencial
Tocantins,25505.31,23986.15,24727.93,26979.94,26857.73,28211.76,25616.15,26559.5,29928.58,29366.04,27572.8,27292.8,2004,Residencial
Maranhão,88613.0,81144.0,84537.0,87326.0,87117.37999999999,86473.0,84032.37,87593.0,91369.98,89662.72,89720.65999999999,88175.02,2004,Residencial
Piauí,55791.0,46649.0,48151.0,50927.0,50865.0,49478.0,49524.2,50770.0,54549.0,55990.0,58308.0,54329.0,2004,Residencial
Ceará,165168.0,148543.7,163812.7,177212.4,156118.0,161970.0,148023.0,164163.7,174620.1,173293.4,174671.0,177340.5,2004,Residencial
Rio Grande do Norte,80257.85,69742.03,75822.93,79305.22,75219.42,73742.1,70563.06,69621.91,71250.23,73392.11,77686.34,81553.68,2004,Residencial
Paraíba,78698.20999999999,68827.4,74707.05,75635.45,71575.22,69427.18,68034.16,65567.87,71382.75,73990.8,72830.77,73885.75,2004,Residencial
Pernambuco,228466.22,217764.55,225066.08,232170.41,210365.37,198030.88,192699.66,189991.76,224208.16999999998,212547.43,226619.19,240852.96,2004,Residencial
Alagoas,59273.0,54516.0,55042.0,56082.0,55113.0,54880.0,50870.0,47564.0,51308.0,51757.0,52364.0,56152.0,2004,Residencial
Sergipe,47598.8,43054.31,45581.36,47776.64,44329.9,42832.11,42244.52,40125.56,41059.64,43729.31,45402.3,47528.88,2004,Residencial
Bahia,294797.51,269980.34,276717.04,290815.47,282303.55,265517.5,263190.43,247536.47,261494.53,271886.11,285609.38999999996,284402.45,2004,Residencial
Minas Gerais,628873.67,547149.8,609944.11,583130.79,570943.11,569760.66,552881.63,556685.7999999999,595065.16,593151.77,570184.61,568840.37,2004,Residencial
Espírito Santo,117209.9,110618.0,114342.0,109482.1,105932.2,97920.02,95661.95,95209.4,101358.23,104701.66,107156.72,105104.37,2004,Residencial
Rio de Janeiro,873761.16,873118.3400000001,846841.23,871607.6100000001,819331.73,726377.44,742365.8500000001,726722.58,777210.22,792953.51,823408.24,854632.77,2004,Residencial
São Paulo,2074540.8800000001,1980655.12,2058328.0899999999,2169642.61,2041061.68,2039384.38,2066713.34,2074704.65,2122526.57,2117323.09,2107765.41,2040860.4,2004,Residencial
Paraná,389147.1,390487.0,375715.5,388594.8,376169.5,380972.4,374401.9,379364.0,393932.0,383664.68,384057.23,382298.38,2004,Residencial
Santa Catarina,286688.70999999996,275576.18,278745.02,272839.97000000003,259748.66999999998,249890.50999999998,252993.33,258288.40000000002,268234.07999999996,259657.75,257362.85,265283.64999999997,2004,Residencial
Rio Grande do Sul,456670.2,455907.3,453566.8,470612.3,446184.39999999997,425987.22,439309.61,432540.0,438391.2,426155.9,430069.8,452985.1,2004,Residencial
Mato Grosso do Sul,87676.4,83454.96,83723.21,83830.61,81837.19,71126.92,70142.41,78390.70999999999,77924.88,83934.74,83256.37,86426.73,2004,Residencial
Mato Grosso,105341.09,95490.56999999999,102377.67000000001,107596.31,95553.12,87134.9,92385.54,88841.97,103861.01999999999,110987.38,110771.04000000001,110137.62,2004,Residencial
Goiás,199039.0,187318.0,189405.0,196833.0,192957.0,196116.0,185934.0,192073.0,209570.0,209412.0,194999.0,194804.0,2004,Residencial
Distrito Federal,114484.0,105839.0,117675.0,117811.0,122461.0,111981.0,122077.0,119886.0,123615.0,125116.0,116668.0,121884.0,2004,Residencial
Rondônia,42228.0,42059.0,44612.0,42779.0,42074.0,43170.0,44037.0,41782.0,44447.0,45669.0,48912.0,46609.0,2005,Residencial
Acre,16837.77,15874.98,16882.1,15087.37,15362.74,17016.42,16402.3,15430.32,17990.5,18600.67,19209.49,17956.87,2005,Residencial
Amazonas,83500.34,78316.59,77641.35,81575.54000000001,75404.64,82917.39,83837.23999999999,85501.73,92573.69,85427.1,90085.22,80037.84,2005,Residencial
Roraima,15679.4,15026.06,14307.4,15098.26,13314.41,13300.82,13875.24,13536.97,15014.8,15410.35,17628.940000000002,14388.87,2005,Residencial
Pará,148186.84,135499.40999999997,139527.44000000003,144593.86000000002,143909.55,147106.72,148915.86,155236.63000000003,155232.93000000002,153266.43,155462.19000000003,151126.25999999998,2005,Residencial
Amapá,22649.0,22649.0,22649.0,22649.0,20892.65,20621.0,21306.0,20811.0,23728.23,22847.4,22736.7,22523.87,2005,Residencial
Tocantins,26878.34,26710.23,26105.23,28586.24,27723.0,28583.35,28287.68,28534.0,32567.84,31535.54,30527.62,28310.26,2005,Residencial
Maranhão,94731.83,88301.23999999999,88043.19,90785.65,90215.55,93280.38,88764.54,98595.24,95742.15,96948.02,101456.67,100305.45999999999,2005,Residencial
Piauí,57733.0,51963.0,50343.0,51135.0,52147.0,52382.0,53827.0,54216.0,58193.0,60461.0,60582.0,59673.0,2005,Residencial
Ceará,185504.6,177313.5,183338.5,184220.8,182373.0,175902.7,174386.7,180092.3,175055.6,182402.4,187459.2,189461.9,2005,Residencial
Rio Grande do Norte,82106.99,79768.33,80349.71,87988.18,83005.71,78758.98,78399.37,78399.37,78757.21,77150.97,84520.21,89512.71,2005,Residencial
Paraíba,79106.92,78452.63,76801.26,78728.62,75523.34,72169.31,71264.5,71010.5,72031.47,75139.86,77841.42,75965.18,2005,Residencial
Pernambuco,252311.61000000002,240187.53,256016.63,246704.30000000002,238478.7,218081.80000000002,210061.1,213244.4,220875.26,225296.06,232156.34,242037.1,2005,Residencial
Alagoas,60311.84,59490.59,57972.4,60191.49,60101.0,56369.73,51406.8,59078.91,51573.04,53771.0,59350.0,57170.0,2005,Residencial
Sergipe,46413.48,47832.48,47971.18,48194.54,46867.43,46053.92,42743.31,41898.97,44342.58,47717.83,47345.59,47322.8,2005,Residencial
Bahia,308753.98,309170.06,296337.99,297905.0,290163.99000000005,278458.03,276318.55,274643.96,281416.01,293223.95999999996,298957.04000000004,300201.04000000004,2005,Residencial
Minas Gerais,611356.26,559890.79,560495.05,609841.32,580757.0399999999,597358.0000000001,577654.7400000001,564873.94,605412.67,592283.17,599505.03,586869.29,2005,Residencial
Espírito Santo,125183.73999999999,116100.90000000001,117600.63,125022.87000000001,108386.14,109616.03,110274.88,108658.34999999999,115960.83,113938.15,115211.98000000001,133078.07,2005,Residencial
Rio de Janeiro,951342.62,870828.06,900342.64,959439.27,849608.9,826181.45,775863.04,788320.27,874441.62,819844.9,867503.63,938610.0,2005,Residencial
São Paulo,2186011.6,2070147.27,2132612.31,2229431.52,2116809.2700000005,2177681.76,2162540.56,2173290.79,2224133.0599999996,2247606.75,2192297.08,2210950.95,2005,Residencial
Paraná,405965.04,397542.07,389053.14,413205.36,393393.24,405040.63,388345.02,395000.18000000005,404878.84,397467.77999999997,404452.24,399856.55,2005,Residencial
Santa Catarina,297357.26,290636.35,281170.63,303494.01999999996,270308.42,272440.95999999996,270952.39999999997,275466.73,278748.94999999995,274961.98,271635.72,285900.52,2005,Residencial
Rio Grande do Sul,491393.45999999996,473485.86,484839.75,463334.48,435400.4,451355.2,453690.2,459287.0,446454.49,440333.58,440657.0,471087.2,2005,Residencial
Mato Grosso do Sul,87887.20000000001,83054.42000000001,92202.06,90868.01999999999,82302.55,79669.06999999999,72229.70999999999,72865.18,77629.18000000001,79265.12999999999,85587.44,83949.56,2005,Residencial
Mato Grosso,106210.88,104701.0,112487.31999999999,111940.94,106144.94,107901.79999999999,98970.54,98136.95999999999,111004.72,112020.76000000001,116947.39,113836.70999999999,2005,Residencial
Goiás,207689.83,201710.83,197320.76,208335.51,202095.84,204714.29,202618.22,206878.26,221939.99,222138.5,216687.08,201456.78,2005,Residencial
Distrito Federal,125206.0,121621.0,118193.0,120602.0,115384.0,125144.0,127848.0,129885.0,129209.0,133259.0,131726.0,129532.0,2005,Residencial
Rondônia,44843.0,44799.0,47243.0,45120.0,43171.0,44069.0,48872.0,49050.0,51273.0,50844.0,49650.0,48200.0,2006,Residencial
Acre,17747.12,17446.36,17502.78,17971.33,16854.22,16252.21,19469.55,17287.93,19820.49,19147.39,20240.0,20740.75,2006,Residencial
Amazonas,77758.04999999999,76254.44,76836.76000000001,76348.25,78621.69,79366.16,85165.45,84990.14,93264.4,90574.16,94874.13,85411.39,2006,Residencial
Roraima,14278.44,13675.43,13721.43,13664.43,14371.04,13646.04,12749.85,13897.76,15376.4,16753.25,17264.1,15599.88,2006,Residencial
Pará,148007.47,141042.71,140327.37,145249.46,142382.46999999997,150345.83,151025.52,153364.33,160641.72999999998,162295.51,163488.46,154257.35,2006,Residencial
Amapá,21691.5,21277.42,21402.0,21399.0,20941.0,21730.0,23397.0,23050.0,24749.0,25486.0,25131.0,25536.0,2006,Residencial
Tocantins,27760.32,28506.91,27379.41,28399.19,28796.12,29723.95,28652.3,30513.32,32786.66,32448.34,31445.53,30325.23,2006,Residencial
Maranhão,98479.72,91555.48,92460.47,100320.57,94297.45999999999,98014.46,95266.77,99821.88,105320.05,109384.96,110348.34,107367.77,2006,Residencial
Piauí,55665.0,53402.0,53293.0,51082.0,52973.0,53059.0,54768.0,52214.0,57683.0,60068.0,61136.0,59742.0,2006,Residencial
Ceará,192387.3,183095.4,182647.9,186024.0,185716.1,179895.0,179663.6,185252.1,187516.5,194125.1,198461.7,199894.5,2006,Residencial
Rio Grande do Norte,81744.08,82599.44,94289.14,86432.9,86807.31,88807.35,85070.55,87387.73,86725.96,91342.93,95066.33,96857.72,2006,Residencial
Paraíba,79499.16,77721.26,76804.87,83841.51,81680.26999999999,79882.12999999999,76275.81,77328.52,78144.78,80419.16,87037.23000000001,83086.47,2006,Residencial
Pernambuco,247914.77,228741.72,263587.51,253445.94,244651.36,226534.54,229311.43,216969.42,221727.22999999998,239890.92,252845.49,256865.81,2006,Residencial
Alagoas,59873.12,60552.52,60100.3,61850.78,60546.23,53962.73,53794.85,53144.41,55084.58,56583.24,61122.81,58553.16,2006,Residencial
Sergipe,47842.21,48086.05,49886.2,52581.79,48569.87,47759.6,45245.85,46046.38,46439.76,47090.41,50699.51,54057.95,2006,Residencial
Bahia,312170.89,300999.44,331773.72,308366.54000000004,297838.76,292267.26,285329.17,289945.58,299087.42,310794.73,336258.14,301692.82,2006,Residencial
Minas Gerais,606852.68,544502.77,623178.76,577017.2,600511.84,593454.8500000001,580889.86,570293.1699999999,617856.67,594556.1000000001,621415.58,587991.5599999999,2006,Residencial
Espírito Santo,118577.68999999999,134527.21,135654.81,131732.35,120424.32,112119.63,107536.17,118637.95,115403.67,114433.42,120970.63,123561.2,2006,Residencial
Rio de Janeiro,914514.94,981706.9199999999,1054671.9,928137.4299999999,814723.1,795204.37,802794.08,789107.25,778177.96,852397.09,875556.0900000001,921117.41,2006,Residencial
São Paulo,2255056.35,2230458.0900000003,2308011.1500000004,2320716.74,2276048.6200000006,2327287.0700000003,2277352.0799999996,2296701.1700000004,2377111.22,2339656.4899999998,2379708.1599999997,2384052.7399999998,2006,Residencial
Paraná,427356.89,416162.07,402204.39,412633.74000000005,395562.77,408073.42,405473.27,412603.48,408093.49000000005,414321.63,436633.12,426746.27999999997,2006,Residencial
Santa Catarina,296371.85000000003,326710.16000000003,320684.88,302546.44,259780.46000000002,280760.49,278815.80999999994,278002.93,277916.1,271000.24,301839.25,287047.57999999996,2006,Residencial
Rio Grande do Sul,494015.77,494908.48,483508.07,469150.3,441066.26999999996,456686.01,454003.4,460273.26,454215.89,445609.78,464687.27,481240.35,2006,Residencial
Mato Grosso do Sul,86882.62999999999,87862.09,85285.85,86912.65999999999,78181.09,73671.42,74542.93,77924.95,77825.28,83447.68,90505.99,89764.47,2006,Residencial
Mato Grosso,107430.0,113882.43,110371.21,111312.91,103273.78,103935.79,103749.20000000001,107944.14,114487.73000000001,118304.48,122831.8,118871.0,2006,Residencial
Goiás,209467.13,204445.75,210863.07,219874.32,209842.53,212999.5,207573.89,214318.9,229913.61,223071.95,225764.82,215034.41,2006,Residencial
Distrito Federal,123444.0,126894.0,124827.0,137694.0,135723.0,124085.0,126127.0,133901.0,141728.0,138189.0,143727.0,133269.0,2006,Residencial
Rondônia,47135.0,47127.0,44459.0,46673.0,47897.0,45868.0,47403.0,47988.0,52780.0,50861.0,51818.0,49226.0,2007,Residencial
Acre,17809.0,19448.0,19364.0,18755.0,18825.0,17468.0,19020.0,18286.0,20574.0,20935.0,20756.0,19866.0,2007,Residencial
Amazonas,85213.0,83926.0,83336.0,84669.0,83507.0,87016.0,87017.0,93570.0,91972.0,93700.0,100730.0,96347.0,2007,Residencial
Roraima,16789.0,15271.0,16230.0,16218.0,16377.0,15291.0,14677.0,15746.0,16519.0,16668.0,18699.0,17072.0,2007,Residencial
Pará,154411.0,147312.0,138718.0,152320.0,151091.0,158765.0,151926.0,161267.0,166001.0,165917.0,171958.0,166256.0,2007,Residencial
Amapá,25435.0,21474.0,21871.0,21485.0,22452.0,23936.0,23688.0,23401.0,25254.0,26645.0,23866.0,24472.0,2007,Residencial
Tocantins,30226.0,29945.0,28905.0,31847.0,31456.0,32944.0,30282.0,32630.0,35204.0,35012.0,34674.0,32040.0,2007,Residencial
Maranhão,110683.0,101374.0,98241.0,112231.0,113403.0,109694.0,110901.0,117058.0,116079.0,118174.0,124615.0,120766.0,2007,Residencial
Piauí,59639.0,56473.0,52701.0,54616.0,56152.0,57042.0,57084.0,57755.0,61593.0,63256.0,68692.0,65122.0,2007,Residencial
Ceará,197216.0,190821.0,181524.0,199299.0,192733.0,191569.0,182160.0,190104.0,189152.0,196891.0,200388.0,204897.0,2007,Residencial
Rio Grande do Norte,95082.0,94119.0,96079.0,98123.0,94803.0,93340.0,88518.0,88988.0,89151.0,91781.0,95200.0,100280.0,2007,Residencial
Paraíba,84129.0,81750.0,79591.0,86140.0,82696.0,78888.0,74777.0,75203.0,74758.0,80469.0,85450.0,82043.0,2007,Residencial
Pernambuco,265287.0,257055.0,260776.0,261489.0,255538.0,243928.0,234609.0,237074.0,227565.0,244570.0,253547.0,280091.0,2007,Residencial
Alagoas,62678.0,62433.0,62975.0,61482.0,61704.0,61642.0,60142.0,58435.0,61860.0,60095.0,66427.0,61523.0,2007,Residencial
Sergipe,50094.0,50578.0,49248.0,52898.0,48267.0,49199.0,46334.0,46116.0,46290.0,47530.0,52707.0,50960.0,2007,Residencial
Bahia,334772.0,313590.0,313295.0,318180.0,313571.0,320403.0,322837.0,314851.0,298310.0,324225.0,339018.0,339630.0,2007,Residencial
Minas Gerais,635194.0,574887.0,605458.0,616075.0,625063.0,607798.0,578010.0,613211.0,617936.0,617484.0,631943.0,569734.0,2007,Residencial
Espírito Santo,142088.0,137468.0,139378.0,144792.0,130519.0,123799.0,116009.0,122690.0,121178.0,121809.0,142796.0,133078.0,2007,Residencial
Rio de Janeiro,965576.0,937067.0,1060924.0,1022287.0,890524.0,777575.0,751296.0,775156.0,834741.0,842099.0,917421.0,877504.0,2007,Residencial
São Paulo,2440676.0,2351043.0,2413480.0,2440438.0,2458210.0,2378151.0,2368283.0,2468106.0,2484697.0,2472577.0,2537478.0,2536673.0,2007,Residencial
Paraná,449815.0,424533.0,424504.0,441845.0,429189.0,424956.0,410023.0,434718.0,443904.0,448992.0,447998.0,437871.0,2007,Residencial
Santa Catarina,338551.0,341505.0,330043.0,334079.0,324501.0,279773.0,275358.0,310725.0,310464.0,290435.0,313739.0,299284.0,2007,Residencial
Rio Grande do Sul,539303.0,503676.0,520927.0,515894.0,489744.0,488280.0,487276.0,503667.0,483908.0,477505.0,477087.0,481122.0,2007,Residencial
Mato Grosso do Sul,90785.0,87242.0,87742.0,93735.0,82583.0,72249.0,74654.0,73707.0,82249.0,90059.0,87727.0,87819.0,2007,Residencial
Mato Grosso,116808.0,116924.0,117968.0,126279.0,115905.0,102342.0,105479.0,105857.0,118721.0,129978.0,123135.0,118081.0,2007,Residencial
Goiás,218172.0,213888.0,207545.0,229808.0,217752.0,220538.0,209460.0,221640.0,230083.0,235746.0,234063.0,219166.0,2007,Residencial
Distrito Federal,136787.0,132012.0,139035.0,147169.0,137026.0,141707.0,144054.0,136567.0,148369.0,148363.0,146349.0,147201.0,2007,Residencial
Rondônia,49733.0,47328.0,47252.0,49407.0,46968.0,48550.0,49574.0,53607.0,58773.0,56288.0,57809.0,54478.0,2008,Residencial
Acre,20232.0,19928.0,19243.0,19979.0,19622.0,19186.0,18853.0,22906.0,22324.0,23277.0,23590.0,22727.0,2008,Residencial
Amazonas,88228.0,86949.0,84099.0,87145.0,97994.0,88541.0,91423.0,101544.0,102330.0,97800.0,102120.0,94786.0,2008,Residencial
Roraima,16410.0,16787.0,17219.0,17722.0,17532.0,16320.0,15802.0,16163.0,19288.0,19117.0,19846.0,18878.0,2008,Residencial
Pará,163528.0,156153.0,154892.0,157539.0,161655.0,169302.0,173327.0,179638.0,186502.0,187768.0,180662.0,178632.0,2008,Residencial
Amapá,25698.0,22173.0,22386.0,23510.0,22335.0,24081.0,24663.0,26535.0,27353.0,28839.0,30559.0,28787.0,2008,Residencial
Tocantins,32494.0,31546.0,29330.0,31178.0,33541.0,33450.0,31717.0,34042.0,38468.0,40153.0,38195.0,33118.0,2008,Residencial
Maranhão,119869.7,110965.0,109949.9,111220.1,113126.7,116904.4,119758.2,130950.6,134762.9,135888.8,141308.1,121378.4,2008,Residencial
Piauí,65886.0,61476.0,57758.0,56309.0,59426.0,60458.0,58698.0,62477.0,66625.0,70097.0,73549.0,67409.0,2008,Residencial
Ceará,204921.0,207112.0,197321.0,193096.0,202750.0,193459.0,199755.0,206897.0,201794.0,215170.0,211520.0,222693.0,2008,Residencial
Rio Grande do Norte,101087.0,103319.0,99430.0,97112.0,101713.0,95611.0,93464.0,94336.0,96948.0,101984.0,102181.0,110538.0,2008,Residencial
Paraíba,92313.0,90445.0,85063.0,88307.0,87667.0,82648.0,81357.0,83162.0,82982.0,86754.0,89451.0,91541.0,2008,Residencial
Pernambuco,276633.0,274881.0,284536.0,273211.0,274010.0,251994.0,250464.0,246997.0,246888.0,266632.0,272618.0,287624.0,2008,Residencial
Alagoas,73746.0,69063.0,70638.0,69072.0,70209.0,65255.0,61497.0,60886.0,65881.0,63722.0,68655.0,70601.0,2008,Residencial
Sergipe,53414.0,55299.0,54538.0,56749.0,56177.0,52639.0,51088.0,49721.0,50684.0,55573.0,57688.0,57541.0,2008,Residencial
Bahia,372812.0,359460.0,347264.0,354743.0,351089.0,327991.0,340619.0,331064.0,329078.0,363019.0,344470.0,368734.0,2008,Residencial
Minas Gerais,687405.0,605897.0,561018.0,581248.0,706576.0,663576.0,660170.0,655991.0,633533.0,661398.0,706492.0,603113.0,2008,Residencial
Espírito Santo,153289.0,151812.0,142030.0,141152.0,144676.0,134355.0,126872.0,131298.0,128583.0,138947.0,145733.0,138121.0,2008,Residencial
Rio de Janeiro,1055800.0,958257.0,967120.0,934482.0,927937.0,798399.0,815841.0,848524.0,820194.0,878727.0,911760.0,855873.0,2008,Residencial
São Paulo,2516197.0,2624776.0,2508868.0,2568569.0,2607143.0,2557202.0,2583522.0,2656370.0,2625711.0,2734678.0,2692642.0,2625315.0,2008,Residencial
Paraná,467962.0,449205.0,448703.0,452503.0,439844.0,449081.0,445508.0,458146.0,457730.0,453182.0,478529.0,460368.0,2008,Residencial
Santa Catarina,346681.0,359328.0,317129.0,313323.0,324419.0,299927.0,300946.0,326503.0,305014.0,314818.0,337041.0,309154.0,2008,Residencial
Rio Grande do Sul,566145.0,516191.0,510875.0,498313.0,490812.0,503964.0,512404.0,511439.0,495868.0,500536.0,491243.0,511466.0,2008,Residencial
Mato Grosso do Sul,90183.0,90129.0,82755.0,84908.0,80102.0,76710.0,74590.0,83786.0,84949.0,85264.0,97086.0,98156.0,2008,Residencial
Mato Grosso,120465.0,116167.0,117276.0,119076.0,114003.0,113764.0,110733.0,124604.0,136381.0,136395.0,142621.0,134294.0,2008,Residencial
Goiás,230146.0,227276.0,218856.0,225292.0,232645.0,226615.0,215507.0,238560.0,240236.0,246774.0,260093.0,234287.0,2008,Residencial
Distrito Federal,142963.0,146795.0,138052.0,149516.0,149909.0,151248.0,145353.0,144485.0,156828.0,156984.0,160258.0,143077.0,2008,Residencial
Rondônia,54926.0,54457.0,51735.0,54164.0,56463.0,53150.0,56443.0,57825.0,62417.0,59617.0,63176.0,60633.0,2009,Residencial
Acre,22518.0,21503.0,20077.0,22233.0,21615.0,20791.0,20649.0,21971.0,24942.0,24895.0,25531.0,25310.0,2009,Residencial
Amazonas,96899.0,85480.0,87581.0,91297.0,92701.0,91449.0,96275.0,107912.0,111095.0,110088.0,114780.0,112131.0,2009,Residencial
Roraima,18158.0,18421.0,18504.0,19114.0,20749.0,18349.0,17052.0,18441.0,20951.0,22497.0,22332.0,21100.0,2009,Residencial
Pará,180075.0,161006.0,157631.0,163107.0,154174.0,163761.0,175330.0,180265.0,184526.0,183142.0,186641.0,188780.0,2009,Residencial
Amapá,29689.0,25298.0,25598.0,26208.0,26524.0,27347.0,27196.0,29024.0,30634.0,32174.0,32525.0,32219.0,2009,Residencial
Tocantins,35449.0,33943.0,31931.0,36920.0,34709.0,36550.0,36739.0,38303.0,41152.0,40465.0,39088.0,38348.0,2009,Residencial
Maranhão,140087.0,125280.0,117675.0,122058.0,115460.0,126138.0,125247.0,154258.0,159431.0,158278.0,155713.0,141441.0,2009,Residencial
Piauí,68502.0,61550.0,60246.0,61310.0,61711.0,61418.0,63800.0,65884.0,69916.0,75951.0,80192.0,77215.0,2009,Residencial
Ceará,237183.0,201285.0,209105.0,206369.0,214969.0,204585.0,205320.0,223657.0,216282.0,226519.0,227918.0,234572.0,2009,Residencial
Rio Grande do Norte,109330.0,102745.0,108039.0,109868.0,106569.0,103731.0,101003.0,106629.0,107766.0,112226.0,116686.0,127225.0,2009,Residencial
Paraíba,98528.0,89018.0,87852.0,97128.0,90372.0,87988.0,86847.0,89376.0,87128.0,94284.0,96854.0,99264.0,2009,Residencial
Pernambuco,274378.0,277225.0,292094.0,305589.0,301842.0,282639.0,277201.0,282435.0,280669.0,294389.0,313262.0,325339.0,2009,Residencial
Alagoas,74385.0,74139.0,65612.0,79247.0,71927.0,68124.0,65940.0,69837.0,66109.0,68259.0,75952.0,74746.0,2009,Residencial
Sergipe,63099.0,62260.0,58656.0,67405.0,58967.0,58499.0,58673.0,57871.0,58338.0,60813.0,62849.0,66563.0,2009,Residencial
Bahia,382482.0,375572.0,414481.0,406421.0,367466.0,346978.0,369963.0,376397.0,392617.0,398026.0,390808.0,430971.0,2009,Residencial
Minas Gerais,739274.0,634302.0,696566.0,689334.0,716487.0,647040.0,671097.0,716732.0,692579.0,701078.0,723781.0,671179.0,2009,Residencial
Espírito Santo,157322.0,153594.0,168444.0,153884.0,136933.0,144746.0,140765.0,145814.0,147804.0,150182.0,151424.0,157251.0,2009,Residencial
Rio de Janeiro,1013223.0,1019125.0,1106323.0,987719.0,914407.0,814325.0,824491.0,857404.0,887860.0,939823.0,992602.0,1079504.0,2009,Residencial
São Paulo,2738453.0,2618139.0,2695539.0,2743559.0,2698563.0,2657294.0,2753841.0,2801539.0,2788227.0,2796243.0,2718763.0,2860870.0,2009,Residencial
Paraná,490479.0,472628.0,474729.0,487989.0,458956.0,465918.0,470312.0,485604.0,484503.0,474385.0,496515.0,495596.0,2009,Residencial
Santa Catarina,365956.0,349123.0,361432.0,361572.0,336360.0,323171.0,327776.0,341018.0,330050.0,330285.0,356647.0,352137.0,2009,Residencial
Rio Grande do Sul,563289.0,532288.0,560926.0,539293.0,504508.0,510587.0,540635.0,554639.0,522299.0,513265.0,526104.0,549203.0,2009,Residencial
Mato Grosso do Sul,97737.0,95749.0,98369.0,102977.0,95905.0,87016.0,85748.0,86510.0,90599.0,95991.0,106045.0,110345.0,2009,Residencial
Mato Grosso,134930.0,131857.0,135470.0,132820.0,132324.0,119286.0,122370.0,126288.0,139147.0,145005.0,140653.0,135565.0,2009,Residencial
Goiás,256175.0,230750.0,228552.0,249954.0,239071.0,236172.0,231071.0,256597.0,255792.0,255359.0,261985.0,244003.0,2009,Residencial
Distrito Federal,162023.0,142714.0,156516.0,154564.0,158558.0,152242.0,153127.0,150734.0,163968.0,162502.0,156926.0,165121.0,2009,Residencial
Rondônia,59914.0,57565.0,62418.0,65976.0,65305.0,62714.0,67081.0,62446.0,70435.0,78705.0,72622.0,68765.0,2010,Residencial
Acre,24921.0,23519.0,24318.0,26348.0,25746.0,23538.0,25631.0,24018.0,26640.0,29761.0,28210.0,27092.0,2010,Residencial
Amazonas,104188.0,100078.0,100130.0,105983.0,104192.0,107950.0,108616.0,113178.0,123056.0,119121.0,118301.0,112818.0,2010,Residencial
Roraima,21131.0,20660.0,20704.0,23176.0,20934.0,21177.0,19751.0,20711.0,23041.0,25407.0,24357.0,22801.0,2010,Residencial
Pará,178777.0,172000.0,189197.0,192523.0,186366.0,203057.0,195809.0,195784.0,202757.0,203412.0,202378.0,198594.0,2010,Residencial
Amapá,32928.0,29267.0,29980.0,30241.0,31327.0,33845.0,31651.0,32795.0,36550.0,35909.0,35681.0,36365.0,2010,Residencial
Tocantins,38524.0,39457.0,40248.0,42781.0,45318.0,45203.0,41532.0,43171.0,47465.0,49185.0,44349.0,42994.0,2010,Residencial
Maranhão,152509.0,147766.0,149153.0,160009.0,155650.0,158906.0,153337.0,164382.0,167890.0,170812.0,176378.0,159773.0,2010,Residencial
Piauí,80296.0,75957.0,79039.0,80467.0,79472.0,79942.0,79175.0,80840.0,86101.0,89065.0,92246.0,86928.0,2010,Residencial
Ceará,247584.0,231317.0,249535.0,254359.0,242986.0,247838.0,247188.0,230520.0,248776.0,247907.0,250995.0,250205.0,2010,Residencial
Rio Grande do Norte,123528.0,113954.0,126249.0,128681.0,126911.0,125237.0,116793.0,112630.0,114866.0,119964.0,126592.0,132378.0,2010,Residencial
Paraíba,104030.0,98929.0,106688.0,114084.0,104937.0,103885.0,99376.0,98072.0,99415.0,102684.0,112207.0,119984.0,2010,Residencial
Pernambuco,313971.0,306378.0,345399.0,332370.0,328697.0,308291.0,295570.0,280503.0,284702.0,318806.0,327743.0,348912.0,2010,Residencial
Alagoas,80128.0,74169.0,77296.0,83093.0,80159.0,78061.0,70720.0,72058.0,72803.0,74031.0,81922.0,81527.0,2010,Residencial
Sergipe,67154.0,66157.0,67294.0,73432.0,67807.0,65780.0,62897.0,62524.0,61500.0,63534.0,70142.0,75160.0,2010,Residencial
Bahia,408145.0,406420.0,470355.0,433233.0,429537.0,434058.0,416799.0,411273.0,414874.0,421907.0,458677.0,470919.0,2010,Residencial
Minas Gerais,761127.0,690044.0,723995.0,728911.0,706906.0,708672.0,692542.0,720598.0,745292.0,747658.0,728830.0,731604.0,2010,Residencial
Espírito Santo,182680.0,179895.0,167640.0,175111.0,154717.0,148718.0,135430.0,132880.0,149643.0,151567.0,156703.0,178562.0,2010,Residencial
